أبو بكر الشاطري, حفص عن عاصم
أحمد الحذيفي, حفص عن عاصم
أحمد الحواشي, حفص عن عاصم
أحمد الطرابلسي, حفص عن عاصم
أحمد بن علي العجمي, حفص عن عاصم
أحمد خضر الطرابلسي, قالون عن نافع
أحمد سعود, حفص عن عاصم
أحمد صابر, حفص عن عاصم
أحمد عامر, حفص عن عاصم
أحمد نعينع, حفص عن عاصم
أخيل عبدالحي روا (من ماليزيا), حفص عن عاصم
أكرم العلاقمي, حفص عن عاصم
إبراهيم الأخضر, حفص عن عاصم
إدريس أبكر, حفص عن عاصم
ابراهيم الجبرين, حفص عن عاصم
ابراهيم الجرمي, حفص عن عاصم
ابراهيم الدوسري, ورش عن نافع
ابراهيم السعدان, حفص عن عاصم
ابراهيم العسيري, حفص عن عاصم
استاذ زامري (من ماليزيا), حفص عن عاصم
الحسيني العزازي, المصحف المعلم
الدوكالي محمد العالم, قالون عن نافع
الزين محمد أحمد, حفص عن عاصم
العشري عمران, حفص عن عاصم
العيون الكوشي, ورش عن نافع
الفاتح محمد الزبير, الدوري عن أبي عمرو
القارئ ياسين, ورش عن نافع
بندر بليله, حفص عن عاصم
توفيق الصايغ, حفص عن عاصم
جمال الدين الزيلعي, حفص عن عاصم
جمال شاكر عبدالله, حفص عن عاصم
جمعان العصيمي, حفص عن عاصم
حاتم فريد الواعر, حفص عن عاصم
حسين آل الشيخ, حفص عن عاصم
حمد الدغريري, حفص عن عاصم
خالد الجليل, حفص عن عاصم
خالد الشريمي, حفص عن عاصم
خالد القحطاني, حفص عن عاصم
خالد المهنا, حفص عن عاصم
خالد الوهيبي, حفص عن عاصم
خالد عبدالكافي, حفص عن عاصم
خليفة الطنيجي, حفص عن عاصم
داود حمزة, حفص عن عاصم
رشيد إفراد, حفص عن عاصم
رشيد بلعالية, حفص عن عاصم
رضية عبدالرحمن ( من ماليزيا ), حفص عن عاصم
رقية سولونق ( من ماليزيا ), حفص عن عاصم
زكريا حمامة, حفص عن عاصم
زكي داغستاني, حفص عن عاصم
سابينة مامات ( من ماليزيا ), حفص عن عاصم
سامي الحسن, حفص عن عاصم
سامي الدوسري, حفص عن عاصم
سعد الغامدي, حفص عن عاصم
سعود الشريم, حفص عن عاصم
سهل ياسين, حفص عن عاصم
سيد رمضان, حفص عن عاصم
سيدين عبدالرحمن ( من ماليزيا ), حفص عن عاصم
شعبان الصياد, حفص عن عاصم
شيرزاد عبدالرحمن طاهر, حفص عن عاصم
صابر عبدالحكم, حفص عن عاصم
صالح آل طالب, حفص عن عاصم
صالح الصاهود, حفص عن عاصم
صالح الهبدان, حفص عن عاصم
صلاح البدير, حفص عن عاصم
صلاح الهاشم, قالون عن نافع
صلاح الهاشم, حفص عن عاصم
صلاح بو خاطر, حفص عن عاصم 
طارق عبدالغني دعوب, حفص عن عاصم
عادل الكلباني, حفص عن عاصم
عادل ريان, حفص عن عاصم
عبدالبارئ الثبيتي, حفص عن عاصم
عبدالبارئ محمد, المصحف المعلم
عبدالبارئ محمد, حفص عن عاصم
عبدالباسط عبدالصمد, حفص عن عاصم
عبدالباسط عبدالصمد, ورش عن نافع
عبدالباسط عبدالصمد , المصحف المجود
عبدالرحمن السديس, حفص عن عاصم
عبدالرشيد صوفي, السوسي عن أبي عمرو
عبدالرشيد صوفي, خلف عن حمزة
عبدالعزيز الأحمد, حفص عن عاصم
عبدالعزيز الزهراني, حفص عن عاصم
عبدالغني عبدالله ( من ماليزيا ), حفص عن عاصم
عبدالله البريمي, حفص عن عاصم
عبدالله البعيجان, حفص عن عاصم
عبدالله الكندري, حفص عن عاصم
عبدالله المطرود, حفص عن عاصم
عبدالله بصفر, حفص عن عاصم
عبدالله خياط, حفص عن عاصم
عبدالله عواد الجهني, حفص عن عاصم
عبدالله غيلان, حفص عن عاصم
عبدالله فهمي ( من ماليزيا ), حفص عن عاصم
عبدالمحسن الحارثي, حفص عن عاصم
عبدالمحسن العبيكان, حفص عن عاصم
