ID, NameEN, RewayatEN, NameAR, RewayatAR 
1, Abdelbari Al-Toubayti, Rewayat Hafs A'n Assem, عبدالبارئ الثبيتي, حفص عن عاصم 
2, Abdul Aziz Al-Ahmad, Rewayat Hafs A'n Assem, عبدالعزيز الأحمد, حفص عن عاصم
3, Abdulaziz Az-Zahrani, Rewayat Hafs A'n Assem, عبدالعزيز الزهراني, حفص عن عاصم
4, Abdulbari Mohammad, Almusshaf Al Mo'lim, عبدالبارئ محمد, المصحف المعلم 
5, Abdulbari Mohammad, Rewayat Hafs A'n Assem, عبدالبارئ محمد, حفص عن عاصم 
6, Abdulbasit Abdulsamad, Rewayat Hafs A'n Assem, عبدالباسط عبدالصمد, حفص عن عاصم
7, Abdulbasit Abdulsamad, Rewayat Warsh A'n Nafi', عبدالباسط عبدالصمد, ورش عن نافع
8, Abdulbasit Abdulsamad, Almusshaf Al Mojawwad, عبدالباسط عبدالصمد, المصحف المجود
9, Abdulghani Abdullah, Rewayat Hafs A'n Assem, عبدالغني عبدالله, حفص عن عاصم
10, Abdulhadi Kanakeri, Rewayat Hafs A'n Assem, عبدالهادي أحمد كناكري, حفص عن عاصم 
11, Abdullah Al-Burimi, Rewayat Hafs A'n Assem, عبدالله البريمي, حفص عن عاصم
12, Abdullah Al-Johany, Rewayat Hafs A'n Assem, عبدالله عواد الجهني, حفص عن عاصم
13, Abdullah Al-Kandari, Rewayat Hafs A'n Assem, عبدالله الكندري, حفص عن عاصم
14, Abdullah Al-Mattrod, Rewayat Hafs A'n Assem, عبدالله المطرود, حفص عن عاصم
15, Abdullah Albuajan, Rewayat Hafs A'n Assem, عبدالله البعيجان, حفص عن عاصم
16, Abdullah Basfer, Rewayat Hafs A'n Assem, عبدالله بصفر, حفص عن عاصم
17, Abdullah Fahmi, Rewayat Hafs A'n Assem, عبدالله فهمي, حفص عن عاصم
18, Abdullah Khayyat, Rewayat Hafs A'n Assem, عبدالله خياط, حفص عن عاصم
19, Abdullah Qaulan, Rewayat Hafs A'n Assem, عبدالله غيلان, حفص عن عاصم
20, Abdulmohsen Al-Qasim, Rewayat Hafs A'n Assem, عبدالمحسن القاسم, حفص عن عاصم
21, Abdulmohsin Al-Askar, Rewayat Hafs A'n Assem, عبدالمحسن العسكر, حفص عن عاصم
22, Abdulmohsin Al-Harthy, Rewayat Hafs A'n Assem, عبدالمحسن الحارثي, حفص عن عاصم
23, Abdulmohsin Al-Obaikan, Rewayat Hafs A'n Assem, عبدالمحسن العبيكان, حفص عن عاصم
24, Abdulrahman Alsudaes, Rewayat Hafs A'n Assem, عبدالرحمن السديس, حفص عن عاصم
25, Abdulrasheed Soufi, Rewayat Assosi A'n Abi Amr, عبدالرشيد صوفي, السوسي عن أبي عمرو
26, Abdulrasheed Soufi, Rewayat Khalaf A'n Hamzah, عبدالرشيد صوفي, خلف عن حمزة
27, Abdulwadood Haneef, Rewayat Hafs A'n Assem, عبدالودود حنيف, حفص عن عاصم
28, Abdulwali Al-Arkani, Rewayat Hafs A'n Assem, عبدالولي الأركاني, حفص عن عاصم
29, Abu Bakr Al Shatri, Rewayat Hafs A'n Assem, أبو بكر الشاطري, حفص عن عاصم
30, Addokali Mohammad Alalim, Rewayat Qalon A'n Nafi', الدوكالي محمد العالم, قالون عن نافع
31, Adel Al-Kalbany, Rewayat Hafs A'n Assem, عادل الكلباني, حفص عن عاصم
32, Adel Ryyan, Rewayat Hafs A'n Assem, عادل ريان, حفص عن عاصم
33, Ahmad Al-Ajmy, Rewayat Hafs A'n Assem, أحمد بن علي العجمي, حفص عن عاصم
34, Ahmad Al-Hawashi, Rewayat Hafs A'n Assem, أحمد الحواشي, حفص عن عاصم
35, Ahmad Alhuthaifi, Rewayat Hafs A'n Assem, أحمد الحذيفي, حفص عن عاصم
36, Ahmad Khader Al-Tarabulsi, Rewayat Qalon A'n Nafi', أحمد خضر الطرابلسي, قالون عن نافع
37, Ahmad Nauina, Rewayat Hafs A'n Assem, أحمد نعينع, حفص عن عاصم
38, Ahmad Saber, Rewayat Hafs A'n Assem, أحمد صابر, حفص عن عاصم
39, Ahmad Saud, Rewayat Hafs A'n Assem, أحمد سعود, حفص عن عاصم
40, Ahmed Al-Trabulsi, Rewayat Hafs A'n Assem, أحمد الطرابلسي, حفص عن عاصم
41, Ahmed Amer, Rewayat Hafs A'n Assem, أحمد عامر, حفص عن عاصم
42, Akhil Abdulhayy Rawa, Rewayat Hafs A'n Assem, أخيل عبدالحي روا (من ماليزيا), حفص عن عاصم
43, Akram Alalaqmi, Rewayat Hafs A'n Assem, أكرم العلاقمي, حفص عن عاصم 
44, Al-Qaria Yassen, Rewayat Warsh A'n Nafi', القارئ ياسين, ورش عن نافع
45, Alashri Omran, Rewayat Hafs A'n Assem, العشري عمران, حفص عن عاصم
46, Alfateh Alzubair, Rewayat Aldori A'n Abi Amr, الفاتح محمد الزبير, الدوري عن أبي عمرو
47, Alhusayni Al-Azazi, Almusshaf Al Mo'lim, الحسيني العزازي, المصحف المعلم
48, Ali Abo-Hashim, Rewayat Hafs A'n Assem, علي أبو هاشم, حفص عن عاصم
49, Ali Alhuthaifi, Rewayat Hafs A'n Assem, علي بن عبدالرحمن الحذيفي, حفص عن عاصم
50, Ali Alhuthaifi, Rewayat Qalon A'n Nafi', علي بن عبدالرحمن الحذيفي, قالون عن نافع
51, Ali Hajjaj Alsouasi, Rewayat Hafs A'n Assem, علي حجاج السويسي, حفص عن عاصم
52, Ali Jaber, Rewayat Hafs A'n Assem, علي جابر, حفص عن عاصم
53, Aloyoon Al-Koshi, Rewayat Warsh A'n Nafi', العيون الكوشي, ورش عن نافع
54, Alzain Mohammad Ahma, Rewayat Hafs A'n Assem, الزين محمد أحمد, حفص عن عاصم
55, Bandar Balilah, Rewayat Hafs A'n Assem, بندر بليله, حفص عن عاصم
56, Dawood Hamza, Rewayat Hafs A'n Assem, داود حمزة, حفص عن عاصم
57, Emad Hafez, Rewayat Hafs A'n Assem, عماد زهير حافظ, حفص عن عاصم
58, Fahad Al-Kandari, Rewayat Hafs A'n Assem, فهد الكندري, حفص عن عاصم
59, Fahad Al-Otaibi, Rewayat Hafs A'n Assem, فهد العتيبي, حفص عن عاصم
60, Fares Abbad, Rewayat Hafs A'n Assem, فارس عباد, حفص عن عاصم
61, Fawaz Alkabi, Rewayat Hafs A'n Assem, فواز الكعبي, حفص عن عاصم
62, Hamad Al Daghriri, Rewayat Hafs A'n Assem, حمد الدغريري, حفص عن عاصم
63, Hani Arrifai, Rewayat Hafs A'n Assem, هاني الرفاعي, حفص عن عاصم
64, Hatem Fareed Alwaer, Rewayat Hafs A'n Assem, حاتم فريد الواعر, حفص عن عاصم
65, Hussain Alshaik, Rewayat Hafs A'n Assem, حسين آل الشيخ, حفص عن عاصم
66, Ibrahem Assadan, Rewayat Hafs A'n Assem, ابراهيم السعدان, حفص عن عاصم
67, Ibrahim Al-Akdar, Rewayat Hafs A'n Assem, إبراهيم الأخضر, حفص عن عاصم
68, Ibrahim Al-Asiri, Rewayat Hafs A'n Assem, ابراهيم العسيري, حفص عن عاصم
69, Ibrahim Al-Jebreen, Rewayat Hafs A'n Assem, ابراهيم الجبرين, حفص عن عاصم
70, Ibrahim Aldosari, Rewayat Warsh A'n Nafi', ابراهيم الدوسري, ورش عن نافع
71, Ibrahim Aljormy, Rewayat Hafs A'n Assem, ابراهيم الجرمي, حفص عن عاصم
72, Idrees Abkr, Rewayat Hafs A'n Assem, إدريس أبكر, حفص عن عاصم
73, Jamaan Alosaimi, Rewayat Hafs A'n Assem, جمعان العصيمي, حفص عن عاصم
74, Jamal Addeen Alzailaie, Rewayat Hafs A'n Assem, جمال الدين الزيلعي, حفص عن عاصم
75, Jamal Shaker Abdullah, Rewayat Hafs A'n Assem, جمال شاكر عبدالله, حفص عن عاصم
76, Khaled Al-Qahtani, Rewayat Hafs A'n Assem, خالد القحطاني, حفص عن عاصم
77, Khalid Abdulkafi, Rewayat Hafs A'n Assem, خالد عبدالكافي, حفص عن عاصم
78, Khalid Al-Jileel, Rewayat Hafs A'n Assem, خالد الجليل, حفص عن عاصم
79, Khalid Al-Shoraimy, Rewayat Hafs A'n Assem, خالد الشريمي, حفص عن عاصم
80, Khalid Al-Wehabi, Rewayat Hafs A'n Assem, خالد الوهيبي, حفص عن عاصم
81, Khalid Almohana, Rewayat Hafs A'n Assem, خالد المهنا, حفص عن عاصم
