EN, AR
Aadel Alkalbani, عادل بن سالم الكلباني
Abdulbari Ath-Thubaity, عبدالباري الثُبيتي
Abdulbasit Abdulsamad, عبدالباسط عبدالصمد
Abdullah Basfer, عبدالله باصفر
Abdullah Khayyat,عبدالله خياط
Abdulwadood Haneef, عبدالودود حنيف
Abu Baker Shatri, شيخ أبوبكر الشاطري
Ahmad Al-Hawashy, أحمد الحواشي
Ahmed Alajmi, أحمد العجمي
Akram Alalaqmi,أكرم العلاقي
Al-Qari Yassen,القارئ ياسين
Alashri Omran, العشري عمران
Aleyoon Alkoshi, العيون الكوشي
Ali Alhuthaifi,علي الحذيفي
Ali Jaber,علي جابر
Alzain Mohammad Ahmad, الزين محمد أحمد
Fares Abbad, فارس عباد
Ibrahim Alakhdar, إبراهيم الأخضر
Maher Al-Muaiqly, ماهر المعقيلي
Mahmood Ali Albana, محمد بن علي البنا
Mohammad Ayyub, محمد آيوب
Mohammad Saleh Alim Shah, محمد صالح علم شاه
Mohammed Alminshawi, محمد المنشاوي
Mohd Altablawi, محمد الطبلاوي
Muftah Alsaltany, مفتاح السلطني
Mustafa Raad Al-Azawi, مصطفى رعد العزاوي
Nabil Ar-Rifai, نبيل الرفاعي
Saad Alghamdi, سعد الغامدي
Saber Abdulhakm, صابر أبوالحكم
Salah Albudair, صلاح البدير
Sayeed Ramadan, سيد رمضان
Tawfeeq As-Sayegh, توفيق الصائغ
Waleed Alnaehi, وليد النائحي
Yasser Aldosari, ياسر الدوسري
Yousef Alshoaey, يوسف الشويعي
Zaki Daghistani, زكي داغستاني
